iteration,fitness,distinct,conflicts
1,11,11,0
2,11,11,0
3,129,129,0
4,11,11,0
5,11,11,0
6,129,129,0
7,11,11,0
8,11,11,0
9,133,133,0
10,11,11,0
11,11,11,0
12,132,132,0
13,11,11,0
14,11,11,0
15,128,128,0
16,11,11,0
17,11,11,0
18,134,134,0
19,11,11,0
20,11,11,0
21,133,133,0
22,11,11,0
23,11,11,0
24,125,125,0
25,11,11,0
26,11,11,0
27,125,125,0
28,11,11,0
29,11,11,0
30,129,129,0
31,11,11,0
32,11,11,0
33,131,131,0
34,11,11,0
35,11,11,0
36,129,129,0
37,11,11,0
38,11,11,0
39,132,132,0
40,11,11,0
41,11,11,0
42,127,127,0
43,11,11,0
44,11,11,0
45,129,129,0
46,11,11,0
47,11,11,0
48,126,126,0
49,11,11,0
50,11,11,0
51,131,131,0
52,11,11,0
53,11,11,0
54,131,131,0
55,11,11,0
56,11,11,0
57,126,126,0
58,11,11,0
59,11,11,0
60,132,132,0
61,11,11,0
62,11,11,0
63,125,125,0
64,11,11,0
65,11,11,0
66,133,133,0
67,11,11,0
68,11,11,0
69,130,130,0
70,11,11,0
71,11,11,0
72,128,128,0
73,11,11,0
74,11,11,0
75,129,129,0
76,11,11,0
77,11,11,0
78,135,135,0
79,11,11,0
80,11,11,0
81,129,129,0
82,11,11,0
83,11,11,0
84,127,127,0
85,11,11,0
86,11,11,0
87,130,130,0
88,11,11,0
89,11,11,0
90,133,133,0
91,11,11,0
92,11,11,0
93,134,134,0
94,11,11,0
95,11,11,0
96,131,131,0
97,11,11,0
98,11,11,0
99,126,126,0
100,11,11,0
