iteration,fitness,distinct,conflicts
1,11,11,0
2,11,11,0
3,37012,12,25
4,11,11,0
5,11,11,0
6,11,11,0
7,47372,12,32
8,11,11,0
9,11,11,0
10,11,11,0
11,48852,12,33
12,11,11,0
13,11,11,0
14,11,11,0
15,57732,12,39
16,11,11,0
17,11,11,0
18,11,11,0
19,47372,12,32
20,11,11,0
21,11,11,0
22,11,11,0
23,39972,12,27
24,11,11,0
25,11,11,0
26,11,11,0
27,57732,12,39
28,11,11,0
29,11,11,0
30,11,11,0
31,54772,12,37
32,11,11,0
33,11,11,0
34,11,11,0
35,68092,12,46
36,11,11,0
37,11,11,0
38,11,11,0
39,42932,12,29
40,11,11,0
41,11,11,0
42,11,11,0
43,56252,12,38
44,11,11,0
45,11,11,0
46,11,11,0
47,48852,12,33
48,11,11,0
49,11,11,0
50,11,11,0
51,47372,12,32
52,11,11,0
53,11,11,0
54,11,11,0
55,51812,12,35
56,11,11,0
57,11,11,0
58,11,11,0
59,69572,12,47
60,11,11,0
61,11,11,0
62,11,11,0
63,56252,12,38
64,11,11,0
65,11,11,0
66,11,11,0
67,54772,12,37
68,11,11,0
69,11,11,0
70,11,11,0
71,39972,12,27
72,11,11,0
73,11,11,0
74,11,11,0
75,51812,12,35
76,11,11,0
77,11,11,0
78,11,11,0
79,62172,12,42
80,11,11,0
81,11,11,0
82,11,11,0
83,54772,12,37
84,11,11,0
85,11,11,0
86,11,11,0
87,47372,12,32
88,11,11,0
89,11,11,0
90,11,11,0
91,57732,12,39
92,11,11,0
93,11,11,0
94,11,11,0
95,51812,12,35
96,11,11,0
97,11,11,0
98,11,11,0
99,54772,12,37
100,11,11,0
